,X,Y,OBJECTID,ticket_number,issued_date,location,description,status,amount,dayofweek,hour,coords
9225,-8475090.07642446,5318437.53591902,9226,231300890,2023/02/18 16:29:00+00,200 WALNUT PL,NO PRKNG HERE TO CNR/ALL CO15-316(A)6,Adjudication Pending ,25,Saturday,16,"('43.04245675', '-76.1331655')"
9226,,,9227,231501212,2023/02/18 16:18:00+00,900 HARRISON ST,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25,Saturday,16,"('43.044117', '-76.136422')"
9227,,,9228,230100493,2023/02/18 16:19:00+00,900 HARRISON ST,NO PARKING ANY TIME CO15-316 (A)14,Adjudication Pending ,25,Saturday,16,"('43.044117', '-76.136422')"
9228,-8475107.10843412,5318278.51990242,9229,230100494,2023/02/18 16:31:00+00,300 WALNUT PL,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Second Notice,25,Saturday,16,"('43.0414205', '-76.13319862251035')"
9229,-8475107.10843412,5318278.51990242,9230,231501213,2023/02/18 16:30:00+00,300 WALNUT PL,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Paid In Full,25,Saturday,16,"('43.0414205', '-76.13319862251035')"
9230,-8475107.10843412,5318278.51990242,9231,231501214,2023/02/18 16:31:00+00,300 WALNUT PL,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Third Notice,25,Saturday,16,"('43.0414205', '-76.13319862251035')"
9231,-8475107.10843412,5318278.51990242,9232,230100495,2023/02/18 16:32:00+00,300 WALNUT PL,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Paid In Full,25,Saturday,16,"('43.0414205', '-76.13319862251035')"
9232,-8475107.10843412,5318278.51990242,9233,231300891,2023/02/18 16:32:00+00,300 WALNUT PL,NO STNDNG HERE TO CNR/ALL CO15-316(A)6,Paid In Full,25,Saturday,16,"('43.0414205', '-76.13319862251035')"
9233,,,9234,231501215,2023/02/18 16:34:00+00,300 WAVERLY AVE,NO STOPPING ANY TIME CO15-316 (A)14,Void Approved,0,Saturday,16,"('43.0400816', '-76.1317789')"
9234,,,9235,231300892,2023/02/18 16:34:00+00,300 WAVERLY AVE,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25,Saturday,16,"('43.0400816', '-76.1317789')"
9235,,,9236,230100496,2023/02/18 16:34:00+00,300 WAVERLY AVE,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25,Saturday,16,"('43.0400816', '-76.1317789')"
9236,,,9237,230100497,2023/02/18 16:35:00+00,300 WAVERLY AVE,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25,Saturday,16,"('43.0400816', '-76.1317789')"
9237,,,9238,231501216,2023/02/18 16:35:00+00,300 WAVERLY AVE,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25,Saturday,16,"('43.0400816', '-76.1317789')"
9238,,,9239,231501217,2023/02/18 16:36:00+00,300 WAVERLY AVE,HANDICAP PRKNG ON-STR /ALL VTL1203(B)2,Third Notice,100,Saturday,16,"('43.0400816', '-76.1317789')"
9239,,,9240,231300893,2023/02/18 16:36:00+00,300 WAVERLY AVE,NO STOPPING ANY TIME CO15-316 (A)14,Third Notice,25,Saturday,16,"('43.0400816', '-76.1317789')"
9240,,,9241,231501218,2023/02/18 16:37:00+00,300 WAVERLY AVE,HANDICAP PRKNG ON-STR /ALL VTL1203(B)2,Third Notice,100,Saturday,16,"('43.0400816', '-76.1317789')"
9241,,,9242,231300894,2023/02/18 16:36:00+00,300 WAVERLY AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Third Notice,25,Saturday,16,"('43.0400816', '-76.1317789')"
9242,,,9243,230100498,2023/02/18 16:36:00+00,300 WAVERLY AVE,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25,Saturday,16,"('43.0400816', '-76.1317789')"
9243,,,9244,231300895,2023/02/18 16:37:00+00,300 WAVERLY AVE,NO STOPPING ANY TIME CO15-316 (A)14,Void Approved,0,Saturday,16,"('43.0400816', '-76.1317789')"
9244,,,9245,230100499,2023/02/18 16:38:00+00,300 WAVERLY AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Third Notice,25,Saturday,16,"('43.0400816', '-76.1317789')"
9245,,,9246,231501219,2023/02/18 16:37:00+00,300 WAVERLY AVE,NONE/ONE LICENSE PLATE/ALL VTL402-1,Third Notice,25,Saturday,16,"('43.0400816', '-76.1317789')"
9246,,,9247,230100500,2023/02/18 16:40:00+00,900 WALNUT AVE,PARKED IN LOADING ZONE/ALL CO15-329,Third Notice,25,Saturday,16,"('43.041035', '-76.1324993')"
9247,,,9248,231501220,2023/02/18 16:39:00+00,900 WALNUT AVE,HANDICAP PRKNG ON-STR /ALL VTL1203(B)2,Paid In Full,100,Saturday,16,"('43.041035', '-76.1324993')"
9248,,,9249,231300896,2023/02/18 16:41:00+00,900 WALNUT AVE,PARKED IN LOADING ZONE/ALL CO15-329,Paid In Full,25,Saturday,16,"('43.041035', '-76.1324993')"
9249,,,9250,230100501,2023/02/18 16:42:00+00,900 WALNUT AVE,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Issued,25,Saturday,16,"('43.041035', '-76.1324993')"
9250,,,9251,231501221,2023/02/18 16:42:00+00,900 WALNUT AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,Saturday,16,"('43.041035', '-76.1324993')"
9251,,,9252,230100502,2023/02/18 16:46:00+00,800 WALNUT AVE,PARKED IN LOADING ZONE/ALL CO15-329,Issued,25,Saturday,16,"('43.0421053', '-76.1324459')"
9252,,,9253,231501222,2023/02/18 16:44:00+00,800 WALNUT AVE,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Paid In Full,25,Saturday,16,"('43.0421053', '-76.1324459')"
9253,,,9254,231501223,2023/02/18 16:46:00+00,800 WALNUT AVE,PARKED IN LOADING ZONE/ALL CO15-329,Third Notice,25,Saturday,16,"('43.0421053', '-76.1324459')"
9254,,,9255,231501224,2023/02/18 16:48:00+00,800 WALNUT AVE,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Third Notice,25,Saturday,16,"('43.0421053', '-76.1324459')"
9255,,,9256,230100504,2023/02/18 16:48:00+00,800 WALNUT AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Third Notice,25,Saturday,16,"('43.0421053', '-76.1324459')"
9256,,,9257,231300897,2023/02/18 16:46:00+00,800 WALNUT AVE,PARKED IN LOADING ZONE/ALL CO15-329,Second Notice,25,Saturday,16,"('43.0421053', '-76.1324459')"
9257,,,9258,231300898,2023/02/18 16:48:00+00,800 WALNUT AVE,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Issued,25,Saturday,16,"('43.0421053', '-76.1324459')"
9258,,,9259,230100503,2023/02/18 16:48:00+00,800 WALNUT AVE,NO PRKNG HERE TO CNR/ALL CO15-316(A)6,Third Notice,25,Saturday,16,"('43.0421053', '-76.1324459')"
9259,-8475030.96582144,5318551.31628747,9260,230100505,2023/02/18 16:50:00+00,700 WALNUT AVE,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Paid In Full,25,Saturday,16,"('43.04403', '-76.132275')"
9260,,,9261,231300899,2023/02/18 16:50:00+00,800 WALNUT AVE,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Third Notice,25,Saturday,16,"('43.0421053', '-76.1324459')"
9261,-8475030.96582144,5318551.31628747,9262,230100506,2023/02/18 16:50:00+00,700 WALNUT AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,Saturday,16,"('43.04403', '-76.132275')"
9262,,,9263,231300900,2023/02/18 16:55:00+00,600 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Saturday,16,"('43.045179', '-76.132259')"
9263,,,9264,231501226,2023/02/18 16:55:00+00,600 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Saturday,16,"('43.045179', '-76.132259')"
9264,-8475030.96582144,5318551.31628747,9265,231501225,2023/02/18 16:53:00+00,700 WALNUT AVE,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Issued,25,Saturday,16,"('43.04403', '-76.132275')"
9265,,,9266,231300901,2023/02/18 16:58:00+00,600 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Third Notice,60,Saturday,16,"('43.045179', '-76.132259')"
9266,,,9267,231501227,2023/02/18 16:57:00+00,600 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Saturday,16,"('43.045179', '-76.132259')"
9267,,,9268,230100507,2023/02/18 16:56:00+00,600 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Saturday,16,"('43.045179', '-76.132259')"
9268,,,9269,231501228,2023/02/18 17:00:00+00,900 MADISON ST,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Saturday,17,"('43.045248', '-76.134196')"
9269,-8475016.43867773,5319059.91775109,9270,231300902,2023/02/18 17:01:00+00,500 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Saturday,17,"('43.0465308', '-76.1323599')"
9270,-8475016.43867773,5319059.91775109,9271,230100508,2023/02/18 17:01:00+00,500 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,60,Saturday,17,"('43.0465308', '-76.1323599')"
9271,,,9272,231501229,2023/02/18 17:06:00+00,100 COMSTOCK AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,60,Saturday,17,"('43.046165', '-76.130835')"
9272,-8474845.1179769,5318847.42590362,9273,230100509,2023/02/18 17:07:00+00,200 COMSTOCK AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Saturday,17,"('43.0451487', '-76.130829')"
9273,-8474845.1179769,5318847.42590362,9274,231300903,2023/02/18 17:07:00+00,200 COMSTOCK AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,60,Saturday,17,"('43.0451487', '-76.130829')"
9274,,,9275,231501230,2023/02/18 17:07:00+00,100 COMSTOCK AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Saturday,17,"('43.046165', '-76.130835')"
9275,,,9276,230100511,2023/02/18 17:10:00+00,1000 MADISON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Saturday,17,"('43.045219', '-76.131977')"
9276,-8474845.1179769,5318847.42590362,9277,231300904,2023/02/18 17:08:00+00,200 COMSTOCK AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Saturday,17,"('43.0451487', '-76.130829')"
9277,-8474845.1179769,5318847.42590362,9278,230100510,2023/02/18 17:07:00+00,200 COMSTOCK AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Saturday,17,"('43.0451487', '-76.130829')"
9278,,,9279,231501231,2023/02/18 17:11:00+00,1100 MADISON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Saturday,17,"('43.045212', '-76.130468')"
9279,,,9280,231300905,2023/02/18 17:12:00+00,1000 MADISON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Saturday,17,"('43.045219', '-76.131977')"
9280,,,9281,230100512,2023/02/18 17:12:00+00,1000 MADISON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Saturday,17,"('43.045219', '-76.131977')"
9281,,,9282,231501234,2023/02/18 17:16:00+00,1100 MADISON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,60,Saturday,17,"('43.045212', '-76.130468')"
9282,,,9283,231300906,2023/02/18 17:17:00+00,1200 MADISON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,60,Saturday,17,"('43.045221', '-76.128835')"
9283,,,9284,231501232,2023/02/18 17:12:00+00,1100 MADISON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Saturday,17,"('43.045212', '-76.130468')"
9284,,,9285,231501233,2023/02/18 17:14:00+00,1100 MADISON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Saturday,17,"('43.045212', '-76.130468')"
9285,,,9286,231300907,2023/02/18 17:18:00+00,1200 MADISON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Saturday,17,"('43.045221', '-76.128835')"
9286,,,9287,231300908,2023/02/18 17:19:00+00,1200 MADISON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Saturday,17,"('43.045221', '-76.128835')"
9287,-8474666.78415827,5318992.74240899,9288,230100515,2023/02/18 17:21:00+00,100 OSTROM AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Saturday,17,"('43.046092599999994', '-76.12928172643004')"
9288,,,9289,231300909,2023/02/18 17:21:00+00,1200 MADISON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Saturday,17,"('43.045221', '-76.128835')"
9289,-8474666.78415827,5318992.74240899,9290,230100513,2023/02/18 17:19:00+00,100 OSTROM AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,60,Saturday,17,"('43.046092599999994', '-76.12928172643004')"
9290,-8474666.78415827,5318992.74240899,9291,230100514,2023/02/18 17:20:00+00,100 OSTROM AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Second Notice,60,Saturday,17,"('43.046092599999994', '-76.12928172643004')"
9291,,,9292,231501235,2023/02/18 17:27:00+00,100 CLARENDON ST,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25,Saturday,17,"('43.037894', '-76.128155')"
9292,,,9293,230100516,2023/02/18 17:27:00+00,200 CLARENDON ST,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25,Saturday,17,"('43.037959', '-76.12691')"
9293,,,9294,230100517,2023/02/18 17:28:00+00,200 CLARENDON ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Partial ,10,Saturday,17,"('43.037959', '-76.12691')"
9294,,,9295,231501236,2023/02/18 17:28:00+00,100 CLARENDON ST,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25,Saturday,17,"('43.037894', '-76.128155')"
9295,,,9296,230100518,2023/02/18 17:28:00+00,200 CLARENDON ST,NO STOPPING ANY TIME CO15-316 (A)14,Adjudication Partial ,25,Saturday,17,"('43.037959', '-76.12691')"
9296,,,9297,231501237,2023/02/18 17:29:00+00,100 CLARENDON ST,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25,Saturday,17,"('43.037894', '-76.128155')"
9297,,,9298,230100520,2023/02/18 17:33:00+00,700 LIVINGSTON AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Saturday,17,"('43.037905', '-76.127188')"
9298,,,9299,231501239,2023/02/18 17:34:00+00,700 LIVINGSTON AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Third Notice,60,Saturday,17,"('43.037905', '-76.127188')"
9299,,,9300,231501238,2023/02/18 17:32:00+00,700 LIVINGSTON AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Third Notice,60,Saturday,17,"('43.037905', '-76.127188')"
9300,,,9301,230100519,2023/02/18 17:31:00+00,700 LIVINGSTON AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Saturday,17,"('43.037905', '-76.127188')"
9301,,,9302,231501240,2023/02/18 17:34:00+00,700 LIVINGSTON AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Third Notice,25,Saturday,17,"('43.037905', '-76.127188')"
9302,,,9303,230100521,2023/02/18 17:34:00+00,700 LIVINGSTON AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Saturday,17,"('43.037905', '-76.127188')"
9303,,,9304,368414D,2023/02/18 04:17:00+00, MARSHALL ST,PRKD BTWN SIDEWALK/CURB CO15-316 (A)1,Paid In Full,60,Saturday,04,"('43.0416015', '-76.1335032')"
9304,,,9305,231501241,2023/02/18 17:35:00+00,700 LIVINGSTON AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,60,Saturday,17,"('43.037905', '-76.127188')"
9305,,,9306,231501242,2023/02/21 09:12:00+00,300 MONTGOMERY ST,PARKED IN LOADING ZONE/ALL CO15-329,Third Notice,25,Tuesday,09,"('43.0482461', '-76.1495403')"
9306,-8474574.61159104,5322886.96958159,9307,395853D,2023/02/15 06:42:00+00,500 BRATTLE RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,60,Wednesday,06,"('43.0716565', '-76.1283972')"
9307,,,9308,231501243,2023/02/21 09:15:00+00,300 MONTGOMERY ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,Tuesday,09,"('43.0482461', '-76.1495403')"
9308,,,9309,409477D,2023/02/16 22:16:00+00,100 ASHWORTH PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Thursday,22,"('43.047635', '-76.134138')"
9309,,,9310,231501244,2023/02/21 09:16:00+00,300 MONTGOMERY ST,PRKD 12 IN FROM CURB/ALL CO15-301,Paid In Full,25,Tuesday,09,"('43.0482461', '-76.1495403')"
9310,,,9311,230100523,2023/02/21 09:19:00+00,1000 MADISON ST,FIRE HYDRANT/ALL TIMES CO15-316 (A)4,Paid In Full,60,Tuesday,09,"('43.045219', '-76.131977')"
9311,,,9312,231501245,2023/02/21 09:24:00+00,200 MADISON ST,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,Tuesday,09,"('43.045396', '-76.148647')"
9312,-8474666.78415827,5318992.74240899,9313,230100522,2023/02/21 09:16:00+00,100 OSTROM AVE,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Paid In Full,25,Tuesday,09,"('43.046092599999994', '-76.12928172643004')"
9313,,,9314,231501246,2023/02/21 09:26:00+00,600 STATE ST S,PARKED IN LOADING ZONE/ALL CO15-329,Third Notice,25,Tuesday,09,"('43.0415743', '-76.1723785')"
9314,,,9315,231501247,2023/02/21 09:27:00+00,600 STATE ST S,PARKED IN LOADING ZONE/ALL CO15-329,Third Notice,25,Tuesday,09,"('43.0415743', '-76.1723785')"
9315,,,9316,230100524,2023/02/21 09:25:00+00,400 UNIVERSITY AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Third Notice,25,Tuesday,09,"('43.04676', '-76.134445')"
9316,,,9317,231501248,2023/02/21 09:30:00+00,700 STATE ST S,HANDICAP PRKNG ON-STR /ALL VTL1203(B)2,Third Notice,100,Tuesday,09,"(0, 0)"
9317,,,9318,231501249,2023/02/21 09:32:00+00,700 STATE ST S,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Third Notice,25,Tuesday,09,"(0, 0)"
9318,-8475090.07642446,5318437.53591902,9319,230100525,2023/02/21 09:33:00+00,200 WALNUT PL,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,Tuesday,09,"('43.04245675', '-76.1331655')"
9319,,,9320,231501250,2023/02/21 09:34:00+00,300 HARRISON ST,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,Tuesday,09,"('43.044194', '-76.148672')"
9320,,,9321,230100526,2023/02/21 09:37:00+00,100 WALNUT PL,UNINSPECTED/ ALL TIMES VTL 306-B,Third Notice,25,Tuesday,09,"('43.0422531', '-76.1328252')"
9321,-8477039.72606272,5318647.27672431,9322,231501251,2023/02/21 09:37:00+00,200 HARRISON ST,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25,Tuesday,09,"('43.0441172', '-76.150516')"
9322,-8474439.35836173,5314861.69956323,9323,409339D,2023/02/14 09:30:00+00,200 GOODRICH AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Tuesday,09,"('43.0189691', '-76.1271839')"
9323,-8477103.84609634,5318843.3131281,9324,231501253,2023/02/21 09:41:00+00,500 WARREN ST S,UNINSPECTED/ ALL TIMES VTL 306-B,Promise To Pay,25,Tuesday,09,"('43.0451138', '-76.1511173')"
9324,-8477103.84609634,5318843.3131281,9325,231501254,2023/02/21 09:41:00+00,500 WARREN ST S,NONE/ONE LICENSE PLATE/ALL VTL402-1,Promise To Pay,25,Tuesday,09,"('43.0451138', '-76.1511173')"
9325,-8477103.84609634,5318843.3131281,9326,231501252,2023/02/21 09:39:00+00,500 WARREN ST S,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Third Notice,25,Tuesday,09,"('43.0451138', '-76.1511173')"
9326,-8477040.22700585,5318848.7967981,9327,231501255,2023/02/21 09:42:00+00,100 MADISON ST,UNINSPECTED/ ALL TIMES VTL 306-B,Third Notice,25,Tuesday,09,"('43.04510965', '-76.15038587478017')"
9327,,,9328,230900726,2023/02/21 09:44:00+00,400 PROSPECT AVE,FIRE HYDRANT/ALL TIMES CO15-316 (A)4,Third Notice,60,Tuesday,09,"('43.057007', '-76.150178')"
9328,-8477040.22700585,5318848.7967981,9329,231501256,2023/02/21 09:43:00+00,100 MADISON ST,NONE/ONE LICENSE PLATE/ALL VTL402-1,Third Notice,25,Tuesday,09,"('43.04510965', '-76.15038587478017')"
9329,,,9330,230100527,2023/02/21 09:46:00+00,900 WALNUT AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Third Notice,25,Tuesday,09,"('43.041035', '-76.1324993')"
9330,,,9331,230100528,2023/02/21 09:47:00+00,900 WALNUT AVE,PARKED IN LOADING ZONE/ALL CO15-329,Issued,25,Tuesday,09,"('43.041035', '-76.1324993')"
9331,,,9332,230900727,2023/02/21 09:48:00+00,400 PROSPECT AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,Tuesday,09,"('43.057007', '-76.150178')"
9332,,,9333,230100529,2023/02/21 09:49:00+00,900 WALNUT AVE,HANDICAP PRKNG ON-STR /ALL VTL1203(B)2,Paid In Full,100,Tuesday,09,"('43.041035', '-76.1324993')"
9333,,,9334,230100530,2023/02/21 09:53:00+00,300 WAVERLY AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Third Notice,25,Tuesday,09,"('43.0400816', '-76.1317789')"
9334,,,9335,231501258,2023/02/21 10:00:00+00,200 WARREN ST S,PARKED IN LOADING ZONE/ALL CO15-329,Third Notice,25,Tuesday,10,"('43.049428', '-76.15086')"
9335,,,9336,231501259,2023/02/21 10:01:00+00,200 WARREN ST S,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25,Tuesday,10,"('43.049428', '-76.15086')"
9336,,,9337,231501257,2023/02/21 09:50:00+00,400 MONTGOMERY ST,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25,Tuesday,09,"('43.046942', '-76.149107')"
9337,,,9338,230100531,2023/02/21 10:03:00+00,200 MARSHALL ST,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25,Tuesday,10,"('43.041512', '-76.134274')"
9338,,,9339,231501261,2023/02/21 10:02:00+00,200 WARREN ST S,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Paid In Full,25,Tuesday,10,"('43.049428', '-76.15086')"
9339,,,9340,231501260,2023/02/21 10:01:00+00,200 WARREN ST S,FIRE HYDRANT/ALL TIMES CO15-316 (A)4,Paid In Full,60,Tuesday,10,"('43.049428', '-76.15086')"
9340,,,9341,230100532,2023/02/21 10:06:00+00,200 MARSHALL ST,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,Tuesday,10,"('43.041512', '-76.134274')"
9341,-8477183.4951778,5319493.14196284,9342,231501263,2023/02/21 10:06:00+00,100 WASHINGTON ST E,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Pending ,25,Tuesday,10,"('43.0493828', '-76.1518326')"
9342,,,9343,230100533,2023/02/21 10:06:00+00,200 MARSHALL ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,Tuesday,10,"('43.041512', '-76.134274')"
9343,-8477183.4951778,5319493.14196284,9344,231501262,2023/02/21 10:05:00+00,100 WASHINGTON ST E,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Third Notice,25,Tuesday,10,"('43.0493828', '-76.1518326')"
9344,-8477618.80998283,5319295.72088256,9345,408064D,2023/02/12 00:30:00+00,200 WALTON ST,HANDICAP PRKNG ON-STR /ALL VTL1203(B)2,Paid In Full,100,Sunday,00,"('43.0480834', '-76.1556976')"
9345,,,9346,230100534,2023/02/21 10:08:00+00,800 UNIVERSITY AVE,HANDICAP PRKNG ON-STR /ALL VTL1203(B)2,Third Notice,100,Tuesday,10,"('43.0384987', '-76.1390041')"
9346,,,9347,231501264,2023/02/21 10:11:00+00,200 WATER ST E,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25,Tuesday,10,"('43.050425', '-76.150598')"
9347,-8477618.80998283,5319295.72088256,9348,408066D,2023/02/12 00:32:00+00,200 WALTON ST,NO PARKING ANY TIME CO15-316 (A)14,Third Notice,25,Sunday,00,"('43.0480834', '-76.1556976')"
9348,-8477618.80998283,5319295.72088256,9349,408065D,2023/02/12 00:31:00+00,200 WALTON ST,HANDICAP PRKNG ON-STR /ALL VTL1203(B)2,Paid In Full,100,Sunday,00,"('43.0480834', '-76.1556976')"
9349,,,9350,230900728,2023/02/21 10:16:00+00, CITY LOT 21,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudication Pending ,25,Tuesday,10,"('43.0481221', '-76.1474244')"
9350,-8477618.80998283,5319295.72088256,9351,408067D,2023/02/12 00:34:00+00,200 WALTON ST,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25,Sunday,00,"('43.0480834', '-76.1556976')"
9351,,,9352,230900729,2023/02/21 10:17:00+00, CITY LOT 21,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Third Notice,25,Tuesday,10,"('43.0481221', '-76.1474244')"
9352,,,9353,231501265,2023/02/21 10:17:00+00,100 WATER ST E,NO STOPPING ANY TIME CO15-316 (A)14,Third Notice,25,Tuesday,10,"('43.050453', '-76.152021')"
9353,,,9354,231300910,2023/02/21 10:15:00+00,1400 SALT SPRINGS RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Tuesday,10,"('43.047364', '-76.08885')"
9354,-8477618.80998283,5319295.72088256,9355,408068D,2023/02/12 00:35:00+00,200 WALTON ST,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25,Sunday,00,"('43.0480834', '-76.1556976')"
9355,,,9356,230900730,2023/02/21 10:20:00+00,200 CLINTON ST S,NO PERMIT/ALL TIMES CO15-365,Third Notice,25,Tuesday,10,"('43.049479', '-76.153671')"
9356,,,9357,230900731,2023/02/21 10:21:00+00,200 WASHINGTON ST W,UNINSPECTED/ ALL TIMES VTL 306-B,Third Notice,25,Tuesday,10,"('43.049686', '-76.153724')"
9357,,,9358,230900732,2023/02/21 10:21:00+00,200 WASHINGTON ST W,NO STOPPING ANY TIME CO15-316 (A)14,Third Notice,25,Tuesday,10,"('43.049686', '-76.153724')"
9358,-8477618.80998283,5319295.72088256,9359,408069D,2023/02/12 00:37:00+00,200 WALTON ST,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25,Sunday,00,"('43.0480834', '-76.1556976')"
9359,-8476769.72062886,5319449.27025695,9360,231501266,2023/02/21 10:25:00+00,300 WASHINGTON ST E,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Pending ,25,Tuesday,10,"('43.0492047', '-76.1481375')"
